league,match_seq,cum_pnl
"England, League One",62,1760.0
"England, League One",63,1860.0
"England, League One",64,1960.0
"England, League One",65,2060.0
"England, League One",66,2160.0
"England, League One",67,2260.0
"England, League One",68,2360.0
"England, League One",69,2460.0
"England, League One",70,2180.0
"England, League One",71,2280.0
"England, League One",72,2380.0
"England, League One",73,2130.0
"England, League One",74,1850.0
"England, League One",75,1570.0
"England, League One",76,1330.0
"England, League One",77,1100.0
"England, League One",78,1200.0
"England, League One",79,1300.0
"England, League One",80,1400.0
"England, League One",81,1500.0
"England, League One",82,1600.0
"England, League One",83,1370.0
"England, League One",84,1470.0
"England, League One",85,1570.0
"England, League One",86,1670.0
"England, League One",87,1770.0
"England, League One",88,1870.0
"England, League One",89,1670.0
"England, League One",90,1440.0
"England, League One",91,1540.0
"England, League One",92,1640.0
"England, League One",93,1740.0
"England, League One",94,1530.0
"England, League Two",1,100.0
"England, League Two",2,200.0
"England, League Two",3,300.0
"England, League Two",4,400.0
"England, League Two",5,170.00000000000003
"England, League Two",6,-89.99999999999997
"England, League Two",7,10.000000000000028
"England, League Two",8,110.00000000000003
"England, League Two",9,-99.99999999999997
"England, League Two",10,-320.0
"England, League Two",11,-220.0
"England, League Two",12,-120.0
"England, League Two",13,-20.0
"England, League Two",14,80.0
"England, League Two",15,180.0
"England, League Two",16,280.0
"England, League Two",17,50.00000000000003
"England, League Two",18,-239.99999999999997
"England, League Two",19,-139.99999999999997
"England, League Two",20,-39.99999999999997
"England, League Two",21,60.00000000000003
"England, League Two",22,160.00000000000003
"England, League Two",23,260.0
"England, League Two",24,360.0
"England, League Two",25,460.0
"England, League Two",26,560.0
"England, League Two",27,340.0
"England, League Two",28,440.0
"England, League Two",29,540.0
"England, League Two",30,320.0
"England, League Two",31,420.0
"England, League Two",32,520.0
"England, League Two",33,290.0
"England, League Two",34,40.0
"England, League Two",35,140.0
"England, League Two",36,-140.0
"England, League Two",37,-40.0
"England, League Two",38,60.0
"England, League Two",39,160.0
"England, League Two",40,260.0
"England, League Two",41,20.0
"England, League Two",42,120.0
"England, League Two",43,220.0
"England, League Two",44,320.0
"England, League Two",45,99.99999999999997
"England, League Two",46,199.99999999999997
"England, League Two",47,300.0
"England, League Two",48,400.0
"England, League Two",49,500.0
"England, League Two",50,600.0
"England, League Two",51,700.0
"England, League Two",52,800.0
"England, League Two",53,900.0
"England, League Two",54,1000.0
"England, League Two",55,1100.0
"England, League Two",56,1200.0
"England, League Two",57,990.0
"England, League Two",58,1090.0
"England, League Two",59,1190.0
"England, League Two",60,1290.0
"England, League Two",61,1390.0
"England, League Two",62,1490.0
"England, League Two",63,1590.0
"England, League Two",64,1690.0
"England, League Two",65,1440.0
"England, League Two",66,1540.0
"England, League Two",67,1640.0
"England, League Two",68,1740.0
"England, League Two",69,1840.0
"England, League Two",70,1940.0
"England, League Two",71,2040.0
"England, League Two",72,1820.0
"England, League Two",73,1920.0
"England, League Two",74,2020.0
"England, League Two",75,1740.0
"England, League Two",76,1840.0
"England, League Two",77,1940.0
"England, League Two",78,2040.0
"England, League Two",79,2140.0
"England, League Two",80,2240.0
"England, League Two",81,2340.0
"England, League Two",82,2100.0
"England, League Two",83,2200.0
"England, League Two",84,1960.0
"England, League Two",85,1710.0
"England, League Two",86,1460.0
"England, League Two",87,1560.0
"England, National League - North",1,-229.99999999999997
"England, National League - North",2,-129.99999999999997
"England, National League - North",3,-29.99999999999997
"England, National League - North",4,70.00000000000003
"England, National League - North",5,170.00000000000003
"England, National League - North",6,270.0
"England, National League - North",7,370.0
"England, National League - North",8,145.0
"England, National League - North",9,245.0
"England, National League - North",10,345.0
"England, National League - North",11,445.0
"England, National League - North",12,545.0
"England, National League - North",13,295.0
"England, National League - North",14,395.0
"England, National League - North",15,495.0
"England, National League - North",16,595.0
"England, National League - North",17,695.0
"England, National League - North",18,470.0
"England, National League - North",19,570.0
"England, National League - North",20,340.0
"England, National League - North",21,80.0
"England, National League - North",22,-180.0
"England, National League - North",23,-80.0
"England, National League - North",24,20.0
"England, National League - North",25,120.0
"England, National League - North",26,220.0
"England, National League - North",27,320.0
"England, National League - North",28,420.0
"England, National League - North",29,520.0
"England, National League - North",30,620.0
"England, National League - North",31,720.0
"England, National League - North",32,490.0
"England, National League - North",33,590.0
"England, National League - North",34,690.0
"England, National League - North",35,450.0
"England, National League - North",36,550.0
"England, National League - North",37,650.0
"England, National League - North",38,750.0
"England, National League - North",39,850.0
"England, National League - North",40,950.0
"England, National League - North",41,1050.0
"England, National League - North",42,1150.0
"England, National League - North",43,900.0
"England, National League - North",44,1000.0
"England, National League - North",45,1100.0
"England, National League - North",46,1200.0
"England, National League - North",47,1300.0
"England, National League - North",48,1400.0
"England, National League - North",49,1170.0
"England, National League - North",50,870.0
"England, National League - North",51,970.0
"England, National League - North",52,1070.0
"England, National League - North",53,840.0
"England, National League - North",54,940.0
"England, National League - North",55,1040.0
"England, National League - North",56,1140.0
"England, National League - North",57,1240.0
"England, National League - North",58,1340.0
"England, National League - North",59,1130.0
"England, National League - North",60,905.0
"England, National League - North",61,1005.0
"England, National League - North",62,775.0
"England, National League - North",63,875.0
"England, National League - North",64,645.0
"England, National League - North",65,745.0
"England, National League - North",66,845.0
"England, National League - North",67,945.0
"England, National League - North",68,1045.0
"England, National League - North",69,770.0
"England, National League - North",70,870.0
"England, National League - North",71,970.0
"England, National League - North",72,680.0
"England, National League - North",73,780.0
"England, National League - North",74,540.0
"England, National League - North",75,640.0
"England, National League - North",76,740.0
"England, National League - North",77,440.0
"England, National League - North",78,540.0
"England, National League - North",79,640.0
"England, National League - North",80,740.0
"England, National League - North",81,840.0
"England, National League - North",82,940.0
"England, National League - North",83,1040.0
"England, National League - North",84,1140.0
"England, National League - North",85,1240.0
"England, National League - North",86,1340.0
"England, National League - North",87,1440.0
"England, National League - North",88,1540.0
"England, National League - North",89,1640.0
"England, National League - North",90,1410.0
"England, National League - North",91,1510.0
"England, National League - North",92,1610.0
"England, National League - North",93,1385.0
"England, National League - North",94,1485.0
"England, National League - North",95,1260.0
"England, National League - North",96,1360.0
"England, National League - North",97,1460.0
"England, National League - North",98,1560.0
"England, Premier League 2 Division One",1,100.0
"England, Premier League 2 Division One",2,200.0
"England, Premier League 2 Division One",3,-100.0
"England, Premier League 2 Division One",4,0.0
"England, Premier League 2 Division One",5,100.0
"England, Premier League 2 Division One",6,200.0
"England, Premier League 2 Division One",7,300.0
"England, Premier League 2 Division One",8,400.0
"England, Premier League 2 Division One",9,500.0
"England, Premier League 2 Division One",10,600.0
"England, Premier League 2 Division One",11,320.0
"England, Premier League 2 Division One",12,30.0
"England, Premier League 2 Division One",13,130.0
"England, Premier League 2 Division One",14,230.0
"England, Premier League 2 Division One",15,330.0
"England, Premier League 2 Division One",16,430.0
"England, Premier League 2 Division One",17,530.0
"England, Premier League 2 Division One",18,630.0
"England, Premier League 2 Division One",19,350.0
"England, Premier League 2 Division One",20,70.0
"England, Premier League 2 Division One",21,-230.0
"England, Premier League 2 Division One",22,-130.0
"England, Premier League 2 Division One",23,-30.0
"Estonia, Meistriliiga",1,100.0
"Estonia, Meistriliiga",2,-129.99999999999997
"Estonia, Meistriliiga",3,-29.99999999999997
"Estonia, Meistriliiga",4,70.00000000000003
"Estonia, Meistriliiga",5,170.00000000000003
"Estonia, Meistriliiga",6,270.0
"Estonia, Meistriliiga",7,370.0
"Estonia, Meistriliiga",8,470.0
"Estonia, Meistriliiga",9,180.0
"Estonia, Meistriliiga",10,280.0
"France, Ligue 1",1,100.0
"France, Ligue 1",2,200.0
"France, Ligue 1",3,300.0
"France, Ligue 1",4,400.0
"France, Ligue 1",5,500.0
"France, Ligue 1",6,600.0
"France, Ligue 1",7,700.0
"France, Ligue 1",8,800.0
"France, Ligue 1",9,900.0
"France, Ligue 1",10,1000.0
"France, Ligue 1",11,1100.0
"France, Ligue 1",12,1200.0
"France, Ligue 1",13,960.0
"France, Ligue 1",14,1060.0
"France, Ligue 1",15,1160.0
"France, Ligue 1",16,1260.0
"France, Ligue 1",17,1360.0
"France, Ligue 1",18,1460.0
"France, Ligue 1",19,1240.0
"France, Ligue 1",20,1340.0
"France, Ligue 1",21,1440.0
"France, Ligue 1",22,1200.0
"France, Ligue 1",23,920.0
"France, Ligue 1",24,690.0
"France, Ligue 1",25,790.0
"France, Ligue 1",26,540.0
"France, Ligue 1",27,640.0
"France, Ligue 1",28,740.0
"France, Ligue 1",29,840.0
"France, Ligue 1",30,560.0
"Germany, 2. Bundesliga",1,100.0
"Germany, 2. Bundesliga",2,200.0
"Germany, 2. Bundesliga",3,300.0
